,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
0,67.0,71.0,49.0,44.0,71.0,61.0,44.0,51.0,45.0,39.0,64.0,49.0,60.0,64.0,59.0,47.0,65.0,55.0,58.0,54.0,76.0,35.0,71.0,70.0,45.0,54.0,48.0,65.0,69.0,69.0,6.0,11.0,10.0,8.0,8.0
5,74.0,76.0,80.0,53.0,58.0,71.0,40.0,73.0,70.0,69.0,68.0,71.0,79.0,78.0,78.0,67.0,90.0,71.0,85.0,79.0,56.0,62.0,68.0,67.0,60.0,66.0,59.0,76.0,75.0,78.0,14.0,7.0,9.0,9.0,12.0
38,65.0,67.0,64.0,58.0,60.0,66.0,52.0,66.0,67.0,63.0,62.0,67.0,77.0,74.0,85.0,51.0,92.0,61.0,65.0,66.0,71.0,57.0,60.0,55.0,64.0,68.0,61.0,23.0,22.0,24.0,16.0,11.0,12.0,9.0,13.0
64,69.0,69.0,57.0,21.0,68.0,65.0,48.0,56.0,38.0,40.0,61.0,62.0,33.0,34.0,62.0,57.0,41.0,59.0,71.0,49.0,90.0,29.0,70.0,62.0,26.0,54.0,37.0,72.0,71.0,68.0,15.0,12.0,13.0,12.0,11.0
87,70.0,70.0,46.0,34.0,73.0,65.0,33.0,47.0,42.0,25.0,58.0,58.0,33.0,31.0,41.0,68.0,52.0,48.0,67.0,60.0,75.0,26.0,66.0,68.0,29.0,41.0,45.0,75.0,73.0,71.0,8.0,6.0,16.0,12.0,11.0
112,77.0,77.0,77.0,72.0,64.0,79.0,77.0,78.0,77.0,76.0,70.0,79.0,75.0,69.0,76.0,80.0,72.0,76.0,65.0,75.0,65.0,76.0,59.0,55.0,77.0,76.0,81.0,28.0,34.0,35.0,15.0,12.0,7.0,16.0,15.0
139,61.0,74.0,48.0,32.0,47.0,64.0,34.0,54.0,56.0,40.0,64.0,63.0,69.0,67.0,60.0,61.0,80.0,53.0,71.0,68.0,59.0,38.0,75.0,54.0,39.0,61.0,42.0,52.0,58.0,57.0,8.0,13.0,14.0,14.0,15.0
146,77.0,77.0,78.0,66.0,28.0,76.0,68.0,84.0,63.0,55.0,54.0,81.0,89.0,89.0,93.0,74.0,92.0,62.0,71.0,75.0,56.0,57.0,57.0,37.0,71.0,73.0,62.0,30.0,34.0,35.0,14.0,7.0,7.0,16.0,11.0
172,48.0,56.0,12.0,15.0,16.0,23.0,14.0,15.0,14.0,18.0,18.0,22.0,15.0,26.0,31.0,45.0,24.0,26.0,38.0,18.0,44.0,12.0,21.0,19.0,14.0,15.0,41.0,15.0,15.0,12.0,53.0,41.0,39.0,51.0,53.0
179,69.0,69.0,63.0,42.0,59.0,70.0,60.0,70.0,72.0,67.0,53.0,74.0,75.0,77.0,69.0,70.0,72.0,67.0,70.0,78.0,66.0,61.0,73.0,67.0,65.0,71.0,56.0,67.0,68.0,65.0,7.0,15.0,7.0,10.0,15.0
198,68.0,68.0,26.0,53.0,76.0,73.0,32.0,64.0,44.0,66.0,67.0,64.0,49.0,67.0,55.0,67.0,59.0,47.0,75.0,67.0,71.0,25.0,70.0,71.0,58.0,53.0,34.0,67.0,73.0,72.0,7.0,5.0,13.0,13.0,13.0
206,75.0,78.0,74.0,69.0,46.0,79.0,65.0,73.0,73.0,78.0,79.0,73.0,69.0,71.0,71.0,66.0,67.0,70.0,72.0,83.0,64.0,72.0,75.0,63.0,73.0,81.0,73.0,56.0,65.0,62.0,11.0,8.0,12.0,11.0,12.0
234,62.0,70.0,48.0,23.0,65.0,58.0,25.0,46.0,21.0,24.0,56.0,48.0,68.0,69.0,49.0,62.0,53.0,37.0,71.0,55.0,82.0,24.0,65.0,59.0,21.0,31.0,74.0,59.0,61.0,54.0,8.0,11.0,6.0,6.0,7.0
242,70.0,71.0,64.0,67.0,54.0,64.0,61.0,75.0,66.0,68.0,56.0,76.0,82.0,78.0,82.0,66.0,84.0,74.0,70.0,67.0,51.0,72.0,45.0,45.0,70.0,62.0,67.0,36.0,31.0,37.0,14.0,13.0,9.0,15.0,10.0
269,82.0,85.0,75.0,75.0,58.0,83.0,79.0,81.0,70.0,70.0,80.0,82.0,69.0,69.0,77.0,82.0,75.0,81.0,65.0,92.0,69.0,75.0,74.0,69.0,83.0,81.0,75.0,62.0,74.0,68.0,6.0,11.0,5.0,10.0,8.0
309,55.0,63.0,55.0,52.0,43.0,55.0,42.0,53.0,45.0,43.0,52.0,52.0,65.0,66.0,70.0,53.0,62.0,54.0,52.0,55.0,37.0,52.0,49.0,30.0,52.0,55.0,55.0,43.0,47.0,45.0,11.0,13.0,8.0,14.0,9.0
317,64.0,68.0,62.0,26.0,59.0,62.0,25.0,66.0,57.0,58.0,47.0,62.0,72.0,74.0,75.0,62.0,68.0,59.0,71.0,81.0,70.0,30.0,65.0,55.0,49.0,50.0,40.0,53.0,64.0,64.0,9.0,11.0,12.0,8.0,9.0
335,65.0,65.0,49.0,67.0,78.0,68.0,56.0,49.0,43.0,42.0,39.0,65.0,51.0,53.0,44.0,67.0,52.0,69.0,70.0,53.0,82.0,47.0,77.0,24.0,67.0,68.0,73.0,23.0,20.0,19.0,12.0,13.0,10.0,10.0,9.0
357,75.0,75.0,70.0,77.0,63.0,75.0,77.0,78.0,69.0,63.0,68.0,78.0,79.0,77.0,81.0,74.0,77.0,78.0,58.0,74.0,62.0,74.0,39.0,40.0,78.0,70.0,85.0,26.0,27.0,24.0,7.0,10.0,8.0,15.0,10.0
373,64.0,71.0,41.0,33.0,74.0,57.0,24.0,30.0,35.0,40.0,45.0,44.0,60.0,61.0,59.0,58.0,73.0,48.0,75.0,64.0,71.0,39.0,71.0,58.0,28.0,61.0,39.0,62.0,61.0,57.0,15.0,14.0,13.0,10.0,12.0
